"Word","Total_Frequency","Included_Frequency","ObsWithNgram","ObsPerct","IDF",1GRAMS,Min_1,Segmentation_None (),"200 Obs Included"
end,660,660,181,90.5,0.0433514207947967
word,658,658,182,91,0.0409586076789064
against,655,655,184,92,0.0362121726544447
school,655,655,164,82,0.0861861476162833
leave,640,640,178,89,0.0506099933550872
under,638,638,178,89,0.0506099933550872
call,635,635,185,92.5,0.0338582672609674
umbridge,625,625,39,19.5,0.709965388637482
every,623,623,185,92.5,0.0338582672609674
house,621,621,163,81.5,0.0888423912600234
hall,619,619,137,68.5,0.164309428507574
found,617,617,176,88,0.0555173278498314
walk,617,617,172,86,0.0655015487564323
whisper,608,608,169,84.5,0.0731432910503077
magic,606,606,168,84,0.0757207139381183
our,602,602,171,85.5,0.0680338852718273
both,600,600,176,88,0.0555173278498314
bit,599,599,170,85,0.0705810742857073
ground,599,599,156,78,0.10790539730952
ministry,596,596,137,68.5,0.164309428507574
light,594,594,161,80.5,0.0942041196321314
window,593,593,157,78.5,0.105130343254747
cloak,593,593,128,64,0.193820026016113
night,589,589,167,83.5,0.0783135245163979
hair,587,587,173,86.5,0.0629838925351858
most,585,585,180,90,0.0457574905606751
shake,582,582,175,87.5,0.0579919469776867
wait,577,577,179,89.5,0.048176964684088
side,573,573,168,84,0.0757207139381183
move,572,572,173,86.5,0.0629838925351858
keep,571,571,174,87,0.0604807473813814
smile,569,569,162,81,0.0915149811213502
without,567,567,185,92.5,0.0338582672609674
should,562,562,172,86,0.0655015487564323
upon,560,560,134,67,0.173925197299174
across,559,559,179,89.5,0.048176964684088
book,558,558,126,63,0.200659450546418
each,558,558,171,85.5,0.0680338852718273
shout,556,556,160,80,0.0969100130080564
wall,550,550,154,77,0.113509274827518
being,550,550,181,90.5,0.0433514207947967
sound,549,549,180,90,0.0457574905606751
quite,545,545,171,85.5,0.0680338852718273
man,544,544,151,75.5,0.122053048370812
he'd,542,542,140,70,0.154901959985743
air,542,542,170,85,0.0705810742857073
uncle,541,541,62,31,0.508638306165727
mind,540,540,175,87.5,0.0579919469776867
pass,539,539,169,84.5,0.0731432910503077
raise,539,539,169,84.5,0.0731432910503077
reach,536,536,178,89,0.0506099933550872
hard,531,531,165,82.5,0.0835460514500749
small,530,530,170,85,0.0705810742857073
better,529,529,168,84,0.0757207139381183
set,526,526,177,88.5,0.0530567293021746
bed,526,526,141,70.5,0.151810883008601
step,520,520,155,77.5,0.11069829749369
eater,520,520,79,39.5,0.40340290437354
remember,514,514,167,83.5,0.0783135245163979
enough,512,512,183,91.5,0.0385789059335518
suppose,509,509,166,83,0.0809219076239261
moody,509,509,56,28,0.552841968657781
name,508,508,155,77.5,0.11069829749369
begin,508,508,175,87.5,0.0579919469776867
work,506,506,170,85,0.0705810742857073
hold,504,504,169,84.5,0.0731432910503077
along,498,498,165,82.5,0.0835460514500749
robe,497,497,156,78,0.10790539730952
those,491,491,167,83.5,0.0783135245163979
else,489,489,175,87.5,0.0579919469776867
these,485,485,168,84,0.0757207139381183
ron's,484,484,148,74,0.130768280269024
yet,479,479,167,83.5,0.0783135245163979
already,477,477,164,82,0.0861861476162833
staring,470,470,157,78.5,0.105130343254747
fudge,470,470,55,27.5,0.560667306169737
throw,469,469,161,80.5,0.0942041196321314
dobby,468,468,33,16.5,0.782516055786094
however,467,467,161,80.5,0.0942041196321314
mouth,467,467,160,80,0.0969100130080564
laugh,466,466,164,82,0.0861861476162833
student,465,465,125,62.5,0.204119982655925
many,462,462,169,84.5,0.0731432910503077
please,461,461,163,81.5,0.0888423912600234
fell,460,460,176,88,0.0555173278498314
rather,459,459,150,75,0.1249387366083
kill,459,459,138,69,0.161150909262745
forward,458,458,157,78.5,0.105130343254747
standing,457,457,165,82.5,0.0835460514500749
sat,455,455,169,84.5,0.0731432910503077
suddenly,453,453,161,80.5,0.0942041196321314
run,452,452,161,80.5,0.0942041196321314
believe,451,451,155,77.5,0.11069829749369
office,450,450,112,56,0.2518119729938
between,450,450,168,84,0.0757207139381183
return,450,450,142,71,0.148741651280925
read,449,449,145,72.5,0.139661993429006
