Filename,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
P952291932-1.txt,1,93,93.82,83.34,8.87,99.00,46.50,13.98,43.01,1.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.08,0.00,0.00,0.00,0.00,3.23,11.83,0.00,0.00,44.09,0.00,16.13,11.83,3.23,0.00,0.00,2.15,9.68,1.08,1.08,0.00,0.00,3.23,0.00,1.08,0.00,0.00,2.15,0.00,2.15,2.15,0.00,0.00,2.15,0.00,1.08,0.00,0.00,10.75,7.53,2.15,0.00,0.00,1.08,1.08,3.23,0.00,12.90,3.23,1.08,8.60,2.15,6.45,1.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.38,1.08,1.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.23
P954439696-1.txt,1,129,92.84,65.10,9.63,99.00,64.50,18.60,40.31,1.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.78,0.00,0.00,0.00,0.78,5.43,7.75,0.78,0.00,45.74,0.00,10.08,8.53,1.55,0.00,0.00,0.00,5.43,1.55,0.00,0.00,0.00,9.30,3.88,1.55,0.78,0.00,3.88,0.78,1.55,1.55,0.00,0.00,1.55,0.78,0.78,0.00,0.00,12.40,3.10,4.65,3.10,3.88,0.78,1.55,6.20,0.78,9.30,2.33,1.55,4.65,6.98,0.78,0.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.88,0.78,0.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.33
P954707849-1.txt,1,183,92.84,76.13,9.45,93.76,91.50,11.48,40.44,1.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.55,0.00,0.55,0.00,0.00,3.28,3.83,0.55,0.00,46.99,0.00,5.46,4.92,0.55,0.00,0.00,0.00,7.10,3.83,0.55,1.64,1.64,5.46,2.19,0.55,1.64,0.55,1.09,0.00,2.19,0.55,0.00,0.55,4.37,0.55,0.55,0.00,2.73,9.29,5.46,2.19,1.09,0.55,1.09,0.55,4.37,1.09,12.57,3.83,3.83,5.46,4.37,3.83,1.09,1.09,1.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.73,0.55,0.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.64
P962650586-1.txt,1,125,93.58,65.56,3.88,99.00,62.50,23.20,35.20,0.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.80,0.00,0.00,0.00,0.00,4.00,3.20,0.80,0.00,45.60,0.00,11.20,8.80,2.40,0.80,0.80,0.00,4.00,0.00,0.00,0.80,0.00,9.60,4.80,0.80,1.60,1.60,2.40,0.00,4.00,2.40,0.00,0.00,4.00,0.80,2.40,0.00,0.00,8.80,1.60,4.80,1.60,3.20,1.60,1.60,4.00,2.40,7.20,2.40,1.60,3.20,3.20,0.00,0.00,1.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.80,0.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.40
P962776020-1.txt,1,162,91.55,75.16,7.47,98.27,81.00,19.14,45.06,3.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.23,0.00,1.23,0.00,1.23,5.56,7.41,0.62,0.00,46.30,0.62,12.35,8.64,3.09,1.23,0.62,0.62,8.64,1.23,0.62,1.23,0.62,9.26,3.09,1.85,0.00,1.85,2.47,0.62,3.09,1.85,0.00,1.23,0.62,0.00,0.00,0.00,0.00,11.73,4.32,3.09,3.09,1.85,2.47,1.85,6.17,0.00,8.64,1.85,3.09,3.70,1.85,3.70,0.00,0.00,0.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.70,0.62,0.62,0.00,0.00,0.00,0.00,0.62,0.00,0.00,0.00,1.85
P966644559-1.txt,1,93,92.84,74.07,4.41,99.00,46.50,20.43,45.16,2.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.08,0.00,0.00,0.00,1.08,4.30,6.45,0.00,0.00,44.09,0.00,10.75,8.60,0.00,0.00,0.00,0.00,8.60,0.00,1.08,0.00,0.00,9.68,2.15,0.00,0.00,3.23,4.30,1.08,3.23,2.15,0.00,1.08,3.23,0.00,3.23,0.00,1.08,7.53,3.23,2.15,2.15,0.00,1.08,2.15,5.38,0.00,7.53,2.15,2.15,3.23,3.23,3.23,0.00,0.00,1.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.38,1.08,1.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.23
P969632749-1.txt,1,99,93.77,86.68,3.50,99.00,49.50,15.15,38.38,1.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.01,0.00,0.00,0.00,0.00,5.05,5.05,0.00,0.00,44.44,0.00,8.08,8.08,0.00,0.00,0.00,0.00,11.11,1.01,1.01,0.00,0.00,3.03,1.01,0.00,0.00,0.00,2.02,0.00,4.04,2.02,1.01,1.01,0.00,0.00,0.00,0.00,0.00,13.13,6.06,4.04,1.01,2.02,1.01,1.01,7.07,1.01,9.09,2.02,2.02,5.05,4.04,4.04,1.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.05,1.01,1.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.03
P971251337-1.txt,1,109,93.68,73.97,6.54,99.00,54.50,11.01,38.53,0.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.92,0.00,0.00,0.00,0.00,3.67,6.42,0.00,0.00,44.95,0.00,8.26,8.26,0.00,0.00,0.00,0.00,6.42,0.00,1.83,0.00,0.92,2.75,0.92,0.00,0.00,0.00,1.83,0.00,8.26,4.59,0.92,1.83,2.75,1.83,0.00,0.00,0.00,5.50,2.75,0.92,0.92,0.00,0.92,0.92,3.67,0.00,11.01,1.83,5.50,3.67,1.83,6.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.59,0.92,0.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.75
P972614114-1.txt,1,87,92.84,67.71,5.67,85.87,43.50,21.84,39.08,2.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.15,0.00,1.15,0.00,0.00,4.60,5.75,0.00,0.00,43.68,0.00,10.34,6.90,3.45,1.15,0.00,0.00,4.60,0.00,0.00,0.00,0.00,8.05,2.30,2.30,0.00,2.30,2.30,0.00,1.15,1.15,0.00,0.00,2.30,0.00,1.15,0.00,1.15,13.79,1.15,4.60,2.30,2.30,4.60,2.30,3.45,1.15,9.20,2.30,4.60,3.45,4.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.75,1.15,1.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.45
P980782710-1.txt,1,100,93.76,86.43,6.70,99.00,50.00,14.00,45.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,9.00,9.00,0.00,0.00,44.00,1.00,13.00,10.00,3.00,0.00,1.00,0.00,11.00,3.00,2.00,1.00,1.00,5.00,2.00,1.00,0.00,1.00,2.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,2.00,0.00,0.00,11.00,5.00,0.00,3.00,0.00,3.00,3.00,8.00,0.00,10.00,3.00,2.00,6.00,1.00,3.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,6.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,3.00
